id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
3898865,"not quite @ the beach, Stanley No 5",16971811,Sam,,Circular Head,-40.75953,145.29697,Entire home/apt,200,1,279,2024-02-25,2.43,4,284,45,Exempt: This listing falls under Section 12 of the Land Use Planning and Approvals Act 1993
634247103543426311,Relaxing Ocean Front Beach House,31191891,Gavin,,Glamorgan/Spring Bay,-42.56797,147.88371,Entire home/apt,504,3,4,2024-02-18,0.36,2,174,4,DA 2022/137
41069721,"Banyula Cottage - Dunalley, Tasman Peninsula",145414991,Hayley & Jack,,Sorell,-42.88318,147.81083,Entire home/apt,160,1,98,2024-02-03,1.93,1,4,28,Exempt: This listing falls under the 'home sharing' exemption
51111829,"1 bed Peaceful unit, private deck, feed the sheep!",106354764,Ruth,,West Tamar,-41.27934,146.93093,Entire home/apt,99,2,57,2024-03-08,2.04,2,50,20,Exempt: This listing falls under the 'home sharing' exemption
51809886,Cottage by the Creek-natural beauty & tranquility,412826890,Gillian,,Waratah/Wynyard,-41.01905,145.55637,Entire home/apt,130,1,51,2024-03-09,1.69,1,0,27,Exempt: This listing falls under the 'home sharing' exemption
1069194190166712248,Lottie's - Absolute Convenience,96784548,Emily,,Glamorgan/Spring Bay,-41.8704346,148.2906914,Entire home/apt,276,1,7,2024-03-02,3.96,74,295,7,DA2023/240
13943430,Q Bank Gallery,82958434,Q Bank,,West Coast,-42.08078,145.55797,Entire home/apt,147,2,277,2024-03-03,3.09,1,38,33,Exempt: This listing falls under Section 12 of the Land Use Planning and Approvals Act 1993
23003579,The Orford Getaway. Family friendly property Wifi.,170633644,Geoff,,Glamorgan/Spring Bay,-42.56749,147.90076,Entire home/apt,180,1,72,2024-03-04,0.99,1,317,10,DA 2017/00002
47705552,Greengate Cottages-Sarah Cottage-2 bedroom Strahan,98354268,Margo,,West Coast,-42.14642,145.31571,Entire home/apt,220,1,41,2024-02-17,1.08,2,299,8,Exempt: This listing falls under Section 12 of the Land Use Planning and Approvals Act 1993
50812490,Classic seaside shack with modern makeover,33777071,Marcelo,,Waratah/Wynyard,-40.91572,145.56024,Entire home/apt,170,2,76,2024-03-02,2.36,1,0,18,DA 75/2021
561184255077006073,Cove Shack East Coast ~cosy with water views,16763926,Maryanne,,Break O'Day,-41.3201,148.23918,Entire home/apt,248,2,154,2024-02-12,6.60,1,82,83,DA348-21
